stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.1,0.21,0,0.21,4.06,0.1,0.21,0.1,0,0,0.21,0.1,0.1
22Month,0,0,0,0.14,0,1.64,0,0,0,0.14,0,0,0,0
