stage,Granulocyte,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,1
72hpf,0,0,0.28,1.13,0
21Day,0,0.37,0,0.74,0
3Month,0.1,0,0,0,0
