stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0.28,0,3.95,0,0,0,0,0,0.28,0,0
21Day,0,0,0.37,0,0.74,0,0,0,0,0,0,0,0.37,1.11,0,0,0,0,12.21,0,0,12.58,0.37,0.74,0,0.37,0.37,0,0,0
3Month,0,0,1.77,0,0,0.31,1.25,0.52,0,0.31,0.1,0.42,0.31,0.42,0,0,0.31,0.1,1.14,0,0.42,35.37,0,0.1,0.62,0,0,0,0.21,0
22Month,0.14,0.14,0.41,0,0,0.41,3.69,0.27,0.14,0.27,0,0.14,0.14,0.27,0.14,0.14,0,0,0.68,0,0,42.22,0,0,2.32,0.14,0,0,0,0.14
