stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,6,2,0,11,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,15,0,0,0,2,377,0,0,2,0,0,0,0,2,0,0,0
72hpf,0.85,0.28,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0.28,3.66,0,1.97,0,0.28,0.28,14.66,8.17,0,0,2.54,0,0,0.56,0,0,0,0,0
21Day,1.11,0.37,0,9.99,0,0.37,0,0,0.37,0,0,0,0,0,1.85,0,0.74,4.44,0,8.51,0,0,0.74,3.7,2.22,0,0,1.48,0.74,0,0.37,0,0,0,0,2.22
3Month,0,0.1,0,1.77,0,0,0.1,0.1,3.43,0.42,0,0,2.39,0.62,0.1,0.52,0.1,0.83,0.52,0.83,0.83,0,0.1,0.1,0.1,0,0.1,0.42,0.1,1.25,0,0,0,0.1,0.1,1.04
22Month,0,0.96,0.27,4.51,0,0,0,0.14,2.87,2.05,1.37,0,30.61,0.55,0.82,2.05,0.27,0.27,2.6,2.46,0.27,1.91,0.55,0.55,0,0.55,0.14,0,0,0.68,0.14,0.14,0,0.14,0,1.09
