stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0.37,0,0.37,0,0.74,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,5.18
3Month,0,0.21,0.31,0.1,0.1,0.52,0.42,0.1,0.1,0.52,0.1,0,0.1,0.1,0,0,1.46,0.42,0,0,0.21,8.53
22Month,0.14,0,0.55,0,0.14,2.87,0,0,0,0.82,0,0.27,0,0.14,0,0,0.68,0.14,0.14,0,0,4.65
