stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,3,0
72hpf,0,0,0,0.28,0,0,0,0.56,0.28,0,1.69,1.41,0
21Day,0.37,0,0.37,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1
22Month,0,0.14,0,0,0.27,0.96,0.14,0,0,0.14,0,0,0
