stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,7,0,0,0,3,0,0,1,338,28,4,0,4,31,0,2,0,0,0,1,0,0
72hpf,3.38,0.85,19.17,1.69,7.05,0,0,0,0,1.97,687.43,0.56,8.17,0,44.81,21.42,0.85,7.33,0,1.69,0.28,0.28,0,0
21Day,0,0,1.11,0,0,0,0,0,0,0.37,9.62,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,2.91,0,0,0.1,0,0.31,0.1,0,0,0.1,0,0.21,0.1,0,0,0,0.21,0,0,0,0.1,0.1
22Month,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0
