stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0,0,0,0,0,0.28,7.33,0.85,3.38,0,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,1.11,0,1.48,0,0,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,48.47,1.85,3.33,0.37,1.11,0,0,0.37,0,0,0,0.37
3Month,0,0.21,0,1.35,0.1,0,0.1,0.21,0.42,0.42,0,1.56,0.42,0,0.62,0,0.31,4.58,1.87,0,0.62,0,6.55,0,10.3,0,0.21,2.7,0.1,0,0,1.87,1.04,0.21
22Month,0,0.68,0.14,1.23,0,0,0.14,0,0.55,0.82,0.14,4.51,0.41,0.27,0.55,0.14,0.14,6.56,1.23,0.27,0.27,0,4.65,0,7.79,0,0,0.27,0.41,0,0,3.28,0,0.27
