stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,3,0,0,0,0,0,0,3,41,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.85,0.28,0.56,0,0,0,0,0,0,0.28,12.68,0,0.56,0,12.12,2.25,0,0.28,0.56,0,0.28,13.53,16.91
21Day,1.85,0.74,0.74,0.74,0.74,0,0,0.74,0.74,0,0.74,0.37,2.22,0.37,3.33,1.48,0.37,0,0.74,0.37,0,18.13,86.58
22Month,0,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0
