stage,Erythrocyte__Liver_,Hepatocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0.56,0,0
21Day,0,0,0,0.37,0,0
3Month,0.1,0,0,0,0,0.1
22Month,0,0.27,0.14,0,0,0
