stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0
72hpf,0,0.28,0,0,0,0,0,0.28,1.69,0,0,0
21Day,0.37,0,0.37,0,0,0,0,0,2.59,0,0.37,0.37
3Month,0.21,0,0,0.42,0.1,0.94,0.1,0,0.21,0,0,0
22Month,0,0,0,0.27,0,0,0,0,0,0,0,0
