stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0.56,0.56,0.85,0,0
21Day,0.74,0.37,0,0,0,0,1.11,0,0,0,0
3Month,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0,0.1,0.1
22Month,0.14,0,0,0.14,0,0.27,0,0.14,0,0,0.14
