stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0
21Day,1.48,0,0,2.96,3.33,0,0.37,0,9.25,0,0,0,18.87,0.74,0.74,1.48,6.29,5.18,0,0.37,0,5.92,2.59,0,0,1.85,1.48,0,0.74,1.11,0,0,0,7.03
3Month,0,0.52,0.21,2.29,0,0.21,0.21,0.21,4.37,0,2.81,1.77,0.62,0.52,0.31,0.52,12.17,1.04,0.62,0.31,0.21,0.21,0.1,0.52,0,0,0.21,0.52,0,0,0,0.31,0.42,4.47
22Month,0,0.68,0,0.14,0,0,0,0.14,0.82,0,7.65,28.83,0.68,0.14,0.41,0.14,2.46,0.68,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0,0,1.09
