stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,25,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.13,1.41,0.28,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0,0,0,0,0.85,4.23,0,0,0.56,0,0,3.1,0.85,0,0,0,0
21Day,0,0,0.37,1.85,0,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0,0,0,0.37,1.11,0.74,0,0,0.37,0,0.74,0.74,0.37,0,0,0,0
3Month,0.21,0.73,24.86,0.73,0,0.1,0.1,0.31,0.94,0,6.55,1.77,0.21,1.87,9.57,1.56,1.46,2.08,0,0.1,2.39,1.04,0.21,0.83,0.1,0.1,1.14,6.14,0.1,0,0.62,0.62,260.25,1.66
22Month,0,0,4.65,0.14,0,0,0,0,0.41,0.14,1.37,0.14,0,0.55,0.96,0,0.14,0.41,0.14,0.14,0,0.27,0,0,0,0,0,1.5,0.14,0,0,0,0.68,0.14
