stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,17,0,4,0,0,0,0,0,1,0,0,0
72hpf,2.25,1.13,0,3.38,8.74,6.2,0.28,0,0,0,0.28,0,1.13,4.51,0.85,4.23,1.13,0,0,389.23,19.17,0.28,7.33,0,0,5.07,1.41,0.28,0.28,0,0,0
21Day,3.33,0,0,2.96,3.7,7.4,0,0,0,0,2.22,0,3.33,2.96,1.11,6.29,0,0.37,0,166.49,9.25,0,1.85,3.33,0.74,0.74,1.11,1.85,0.74,0,0,0.37
3Month,0,0,0,6.14,0.83,0,0.1,0.21,0.83,0.31,0,0.62,0,0.21,0.31,0,0,0.21,0.1,1.14,0.1,0,0,0.21,2.5,0.1,0.1,0,0,0.21,25.69,0
22Month,0,0,0.14,0.55,0,0,0.14,1.37,0.27,0,0,0.14,0,0,0,0.27,0.14,0.14,0,0,0,0,0,0,5.33,0.14,0,0,0,0,0,0.14
