stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,219,2,0,11,0,0,0,0,1,0,0,0,0,0,0,3,6,15,0,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,109.64,0.85,0,7.61,0.85,6.2,0,0,0.28,0,0.28,0,0.28,0,3.38,14.37,1.41,20.01,0.28,1.13,0.28,65.67,42.84,0.28,1.13,15.5,0.28,0,6.76,0.56,1.69,0.85,0,0,0
21Day,39.96,2.22,0.74,24.05,1.11,10.36,2.96,0,1.85,0,2.96,1.48,6.29,2.59,1.11,11.84,4.81,32.19,0.37,4.07,0,29.23,14.43,1.48,0.74,7.77,9.25,0,1.48,2.22,2.96,2.22,0.74,0,2.59
3Month,0.94,0.21,0.21,0.52,0,0,0.1,0.1,0.1,0,1.46,0.31,0,0.62,0,0.42,0.1,0.94,0,0,0,0.1,0,0,0,0,0,2.5,0,0,0,0,0.21,0.62,0.21
22Month,0.14,0.14,0,0.27,0,0,0,0,0.27,0.14,2.46,0,0,0.14,0,0.14,0.14,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
