stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,2,3,0,0,0,0,0,0
72hpf,1.13,0,0.28,0,0,0.28,49.04,1.41,0,0.28,0,0,0.28,0
21Day,0,0.37,1.11,0,0,0.37,19.61,0.74,0.37,0.37,1.48,0,0.37,0
3Month,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0,0.31
