stage,Epithelial_cell,Erythrocyte,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,0,0,1,2,0,0,0
72hpf,0,0,2.82,0.56,0,0.56,0.56
21Day,0.37,0.37,2.96,0.37,0.37,1.11,1.48
