stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell
21Day,0,0,0,0,0.37,0,0,0,0,0,0
3Month,0,0.1,0.1,0.1,0,0.21,0.42,0.1,0.1,0,0.1
22Month,0.14,0,0.55,0.14,0,0.41,0,0,0,0.14,0
