stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.28,0.85,0,0.28,0,0,0
21Day,0,0,0,0.37,0.37,0.37,0,0,0,0,0.37,0,0.37,0,0,0,5.92,0,0,0,0,0.37,0,0,1.48,0.37,0,0
3Month,0,0.21,0,0.94,0,0,0,0.1,1.56,0,0.73,0.21,0.31,0,0,1.77,16.64,0.73,0,0,0.42,0,0,0.1,0,0.1,1.66,0.62
22Month,0,0.14,0.14,0.27,0,0,0.14,0,0.68,0.14,2.32,0,0.14,0.14,0,0.41,25.69,0,0.41,0.27,0.14,0.14,0,0.14,0,0.14,0.27,0
