stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0.28,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0.37,0,0,0.37,0,0,0,0
3Month,0.1,0.52,1.35,0,0,0.31,0.52,0,71.56,0.21,0,1.46,0.42,0.42,0.31,0.31,0.1,0.21,0,0.62,0,0,0.1,0.21,0.1,1.14,6.87,0.21,0.1,0.1,1.46,0.21
22Month,0,0,0.68,0,0.27,0,0,0,22.68,0.14,0.27,0.68,0,0,0.14,0.14,0,1.91,0.14,0,0,0,0,0,0,0.14,2.6,0.14,0,0,0,0
