stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,1.69,0,0.28,0,0.56,0,0,0
21Day,0,0.37,0,0,0,0.37,0,0,0.74,0.37,0.74,0,0.37,0.37,0,0
3Month,0.1,0.62,0.1,0.1,0,0.31,0.21,0.21,0.1,0,0.1,0.1,0,0,0,0.1
22Month,0,0.14,0,0,0.27,0.27,0.27,0.68,0,0,0,0,0,0,0.14,0.41
