stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0,0.56,0,1.13,0,122.6,4.23,0,0.85,1.69,0,0,1.13,24.24,23.96,0.28,0,0
21Day,1.11,0.74,3.7,0,0.74,0,0,0,0.74,0,1.11,0.74,0.37,2.22,0.37,1.48,0,35.89,2.96,0.37,0.74,1.11,1.11,0.37,0.74,41.07,115.07,1.85,0,0.74
3Month,0,0,0.73,0.1,0,0,0.1,0,1.66,0.21,0,0.31,0.1,0.1,0.42,0.31,0,0.73,0,0,0,0,0.21,8.11,0,0.31,0.1,0,4.47,0.21
22Month,0,0.14,0.27,0,0,0.14,0.55,0,7.65,0,0,0.27,0,0,0.27,0.14,0.27,0.55,0,0,0,0,0,4.78,0.68,6.83,0,0,0,0
