stage,Epithelial_cell,Epithelial_cell__Brain_,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,2,0,0,0
72hpf,0,0,0.28,7.05,0,0.28,0
21Day,6.66,0.37,0.37,3.7,0.37,0,0.37
3Month,0.31,0,0,0,0,0,0
