stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,0.1,3.43,0.1,0.21,6.24,0.73,0.62,0,0,2.08,8.01,0.1,0,0,0,0.1,0,0.1,0.21,0,0.1,0.1,0.21,0.1
22Month,0.14,1.37,0.14,0.14,16.12,0.68,1.5,0.14,0,0.55,9.84,0,0.14,0.14,0,0.14,0.14,0.14,0,0.14,0,0,0,0
