stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0.28,1.41,0,7.05,1.13,0,0,0,0,0,0
21Day,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0.37,0,0,0,4.07,0.37,0,28.86,0.74,0.37,0.37,3.33,1.11,0,0
3Month,0.1,0.73,0,0,0,0,0,1.77,0.31,0,0.62,0,0.31,0.31,0.42,0.1,0,0.21,0,0,0,8.32,0,0.21,0.83,0.21,0,4.37,0.42
22Month,0,0.41,0,0.27,0.27,0.82,0.27,4.78,0.14,0.14,0.68,0,0.14,0.27,0.27,0,0.14,0,0,0,0.14,5.6,0,0,0.41,0,0,0,0
