stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.28,0,0,0,0,0,0.28,0.28,0.28,0,0,42.84,1.13,0.28,0,0.85,0,0.56,0,0.85,0,0,0
21Day,0.74,0,2.22,0.37,0.74,0,0,0,0.37,0,0.37,0.37,0.74,0,0.37,18.87,0.74,0,0,0.74,0,0.37,1.11,0.37,0,0,0
3Month,0,0,0.73,0,0,0.1,0.42,0.1,0,0.1,0.31,0.21,0.83,0,0,0.73,0,0.31,0,0,0.1,0,0,0,0.1,0.21,0.1
22Month,0,0.14,0,0,0,0,0.68,0.14,0.14,0.14,0.14,0.14,0.41,0.14,0,0.14,0,0.27,0.55,0,0.27,0,0,0,0,0,0.14
