stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0.28,0,0,0,0,0,0,0,0,2.54,0,0,0,0,0.28,1.13,0,0,0.85,0,0,1.97,0,0,0,0,0
21Day,1.85,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,2.22,0.74,0,0.37,0.37,0,0,0,0
3Month,0,1.77,0.1,1.46,0,0.83,0.1,0.21,0.1,3.64,0.21,4.06,4.78,0,0.21,0.31,0,0.1,0.1,0.1,0.21,0,1.46,0.1,0,0.1,0.1,0.1,0.31
22Month,0,0.68,0,0.27,0.41,1.64,0,0.14,0,0.96,0,0.96,0,0.27,0,0,0,0.14,0,0.14,0,0,0.14,0,0,0.14,0,0,0
