stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,2.25,0.28,0,0,0,0,0,0,0,0,0,0,3.66,0.28,1.41,0,0,0,0,1.13,3.95,0,0,1.69,0,0,0.28,0,0,0,0,0
21Day,0.74,0,0,2.96,0,0,0.37,0,0,0,0,0.37,0.37,0,0,0.74,0.37,4.07,0,0,0,0,0.74,0,0,0,1.48,0.37,0,0,1.11,0.37,0,0,0
3Month,0,0.42,0,6.76,0,0.21,0,0.42,0.52,0,7.39,0.31,0.1,1.25,0.42,2.7,0.52,1.66,0.52,0,0.1,0.31,0,0,0.52,0,0,0.21,0.52,0.1,0,0.1,1.66,1.25,0.31
22Month,0.14,0.55,0.55,2.87,0,0.14,0,0.14,0.14,0.96,11.75,0.14,0,2.6,0.27,0.27,0.55,1.09,0.14,0.55,0.14,0.14,0,0,0.14,0.14,0.27,0,0.27,0,0,0,0.27,0,0.27
