stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0,0,0,0,0,0,1.13,0.56,0,0.85,0,0.28,0,5.92,1.97,0.56,0,1.13,0,0.56,0,0,0,0
21Day,0,0,2.59,0.74,0,0,0.37,0,0.74,0,0.74,0.74,0.37,1.48,0,0,0,2.96,0.37,0.74,0,0,0,0.37,0,0,0,0
3Month,0.1,0.1,2.5,0,0.1,0.31,1.46,0.1,0.1,0.21,0,0.83,0.21,0.52,0.1,0.1,0.21,0.31,0,0.52,0,0,6.14,0,0.1,0.1,21.22,0.21
22Month,0,0,0.27,0,0,0,2.05,0,0,0,0.14,0,0.14,0.14,0,0,0,0,0,0.14,0.14,0,1.23,0,0,0,0,0
