stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,1.13,0,0,0,0.28,0.28,2.25,3.1,0,0,0.28,0,0.28,0.28,0.28,0,0
21Day,0.74,0,0.37,2.22,0.74,1.11,0,1.11,0,0.37,0,0.37,0,0.74,0.37,0.74,1.85,0.74,2.96,0,0.74,0,2.59,1.85,0,0,2.22,0,0.37,0.37,0,0,0.37
3Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,4.47,0
22Month,0,0.14,0.27,2.32,0,0,0.27,0.27,0.96,6.83,1.5,8.75,0.96,2.05,1.91,0.27,0.96,5.06,0.55,0.82,0.14,0,0.41,0,0.55,0.14,0,0,0.41,0.14,0.27,0,2.32
