stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Pancreatic_cell
21Day,0.37,0,0,0,0,0,0.37,1.85,0
3Month,0.62,0.1,0.1,0.94,0.1,0.42,0,12.38,0.1
22Month,0,0,0,0.55,0,0.14,0,0.96,0
