stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0.28,4.23,0,0,0
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0
3Month,0.1,0.42,0.21,0.1,0.42,0.21,0.1,0.1,0,0,0.1,8.11,1.04
22Month,0,0,0,0,0.41,0.14,0.14,0.27,0,0.14,0,1.91,0
