stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,9,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,0,1.13,0.28,0.56,0,0,0,0,0,0,0,0,0,0,0.28,2.25,0.28,4.51,0,0.28,0,20.29,12.97,0.28,0,2.82,0,0,1.97,0.85,0,0,0.28
21Day,5.55,1.11,0.37,8.51,0,1.85,0,4.44,0,0.37,0,0,0.37,0.37,2.96,1.85,1.11,2.96,0,6.66,0.74,0.37,0,4.07,7.77,0.37,0.74,2.96,1.48,0,0.37,0.37,0,0,0.74
3Month,0.1,0.31,0.1,4.37,0.21,0,0.31,0,0.21,2.08,0,0,5.82,1.66,0.52,2.5,0.83,1.14,1.46,1.77,0.1,0.21,0.62,0.21,0,0.21,0,0.1,0,8.43,0,0,0.83,2.18,1.66
22Month,0,0.68,0.14,0.68,0,0,0,0.27,0,2.6,0.55,0,10.8,0.96,0.68,1.09,0.14,0.41,1.5,1.09,0.68,0.14,0,0,0,0.14,0.55,0.14,0,0.68,0.14,0,0,0,0.27
