stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,1.69,0,0.28,0,0.28,0,0,0,0.56,0,0,0,0
21Day,0.37,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,4.81,0,0.37,0,0,0,0,0,2.96,9.99,0.37,0,0
3Month,0.1,0.62,0.31,2.91,0.1,0.42,0.62,0,5.3,1.25,0,1.25,0.31,0.73,0.83,0.83,0.1,0,0,0,0.1,0,1.87,0,0.21,0.21,1.04,0,0.1,0,0.1,0.21,0.94
22Month,0,0.82,0.27,3.83,0.55,0.41,1.64,0.82,33.34,0.55,0.41,2.6,0.14,0.27,1.78,2.6,0,0.55,0,0.14,0.96,0.14,3.69,0.14,0,0,0.68,0.27,1.91,0,0.14,0,0.55
