stage,Endothelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Neural_cell
21Day,0,0,0.37,0.37,0.37
3Month,0.1,0.1,0,0,0
22Month,0,0.41,0,0,0
