stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0.56,0,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0.28,20.57,1.41,0,0,0.28,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.74,0,0,9.99,0,0,0,0,0,0.37,0,0
3Month,0,0.1,0.21,0,0.1,1.04,0.21,0.1,0.21,0,0.1,0.42,0.1,0,0.1,0.42,0,0,0.1,0,0.62,0,0.42,0.1
22Month,0,0,0,0.14,0,0.14,1.78,0,0,0,0,0.14,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0
