stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0.28,0,0,0,0,0,0,0,0.28,0.85,0.85,0,0,0,0.28,0
21Day,0.74,0,0.37,0.37,0,0,0,0,0,4.07,0,0.37,0.37,0,0,0
3Month,0,0.42,0,0,0,0.1,0,0.52,0,0.31,0,0,0,0.1,0,0.62
22Month,0,0,0,0,0.55,0,0.14,0.14,0,0,0,0,0,0,0,0
