stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell
24hpf,0,0,4,0,0,0,0,0,1,1,7,0,0,29,0,2,0,0,0
72hpf,0,0.28,0.56,0,0,0,0,1.13,0.56,0,0.56,0,4.79,3.66,0,0.56,0,0.85,0
21Day,0.37,0.37,0.37,0,0,0,0.37,0,0,0,0.74,0,1.48,1.48,0,0,0.37,0.74,0.37
3Month,0,0,0.73,0.1,0.42,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0
22Month,0,0,0.14,0,2.46,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0
