stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0,0,0,1.97,0,0,0.28,0.28,0,1.97,0.85,0.56,0.28,0,0,0.28,0,0,0,0,0,0
21Day,0,1.48,2.59,0.37,0,0,0,0,0,0,0,0,1.11,0,0,0.37,0.74,0,0.37,0.74,0.37,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,4.99,12.9,0,0.21,0.1,8.63,0.52,0,35.89,0.52,0.1,5.82,4.16,0.62,1.14,0.52,0.1,7.7,29.75,0.1,0.21,1.25,0.1,0,0,1.98,0.94,0,0.1,0.94,0.42
22Month,0.68,3.28,7.79,0,0.14,0,4.51,0.41,0.14,84.59,0,0,7.24,0.27,0,0.14,1.09,0.82,3.01,1.09,0,0,0.68,0.14,0.27,0,1.64,0.41,0.41,0,0,0
