stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,6,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,23.96,0,6.2,13.81,0.28,0,0.56,0,0,0,0,0,0,0.28,0,0.28,14.37,0.28,3.38,0,0,0.28,0,3.1,6.48,0,0,1.13,0,0,2.25,0,4.23,0,0,0
21Day,0.74,12.58,0.37,20.35,13.69,1.85,0,1.48,0,0,0,0,0.37,0,1.11,0.37,0,9.99,0.37,8.88,0,0,5.92,0,0.37,5.18,0,0,3.7,3.33,1.11,2.96,0.37,1.85,0,0,0
3Month,0.21,34.43,0,9.05,4.47,0,0.21,0.73,0,0.31,1.04,0.1,3.02,0.62,0.21,1.14,0.31,8.84,1.46,4.47,2.08,0,0.62,0.31,0.31,0.1,0.83,0.21,0.42,0.1,6.03,0.21,0,0.83,11.65,1.14,0.83
22Month,0,73.65,0.55,9.57,1.78,0,0.41,0.55,0.96,0.68,1.37,0.41,14.76,0.68,0.14,1.5,0.27,9.29,1.64,10.8,0.27,0.96,0.82,0,0.14,0,1.78,0,0.41,0,3.42,1.23,0.14,0.27,3.69,0,0.27
