stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,32,1,0,0,0,0,0,0,0,0,0,0
72hpf,1.69,0.28,0,0.56,1.41,0.85,0,0,0,0,0,0,0,0.28,1.41,0.28,1.97,0,0,0,134.44,9.02,0.28,0.85,2.25,0.28,0.28,2.82,0.28,0.28,0.28,0,0
21Day,0.74,0,0.37,2.59,0.74,1.11,2.96,0,0,0,0.37,0,0.37,0,0,0.74,4.44,0,0.37,0,57.35,6.29,0.37,1.11,4.07,0.74,0.37,4.44,1.48,1.48,0,0,0.37
3Month,0,0,0.1,0.62,0.1,0,0,0.1,0,0,0.21,0.1,0,0.1,0.21,0.1,0.62,0.1,0,0.1,0,0,0.21,0,0,0,2.81,0,0,0,0,10.51,0.1
22Month,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
