stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0.28,0,0,0,0,0,0,1.69,0.85,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,4.44,0,0,0,0,0.37,0,0,0,0,0,0.74,0.37,4.44,0.37,0.74,0,0,0,0,1.11,0.37,0,0,0,0,0,0,0.37,0,0,1.48
3Month,0.21,0.73,8.63,30.06,0.1,0.1,0.1,0.1,24.44,4.26,0.1,16.12,3.12,0.83,148.85,4.06,4.78,6.97,2.18,0.42,0.1,8.84,3.95,0.31,0.1,1.46,0.1,0,1.35,3.85,0.1,0.1,1.98,1.66,5.82
22Month,0.14,1.37,10.52,22,0,0.27,0.14,0,9.43,15.3,2.87,15.44,3.83,1.5,150.31,1.37,4.1,6.56,2.19,0,0.68,2.87,0.68,0.14,0,0.96,0.41,0.14,0.27,0.41,0.27,0.14,1.64,0,4.78
