stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0.56,1.41,0,0.28,1.41,0
21Day,0,0,0.37,0,0,0,0,0,0,0,2.59,0.37,0,2.59,0
3Month,0,0.1,0,0.1,0,0.42,0.1,0,0,0,0,0,0,0,0.1
22Month,0,0,0,0,0.14,1.78,0,0.14,0.14,0,0,0,0,0,0
