stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.74,0,0,0
3Month,0,0.94,0,0.31,0,4.78,0.1,0.21,0,0,0.31,0,0,0.1,0,0,0.21,0,0,0,0.21
22Month,0.27,0.55,0.14,0.41,0.14,17.9,0,0.55,0.14,0.14,0.27,0.14,0.82,0,0,0,0.14,0,0.14,0.27,0
