stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,23,0,2,0,0,0,0,0,1,0,0,0,1,1,26,1,57,0,0,0,1
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.28,1.13,0.28,0.56,1.97,1.41,0.28,0,0,0
21Day,1.11,0,4.07,0.37,0.37,0.37,0,0,0,0,0.37,0,0.74,0,1.85,2.96,0.74,1.48,0.37,0.37,0
22Month,0,0.27,0.27,0,0,0,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0,0,0,0
