stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,0,0,0,0,0.28,0.85,0,1.13,0,0,0,0,0.85,1.41,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0.37,3.33,0,0,0.74,0,0,0
3Month,0,0.21,2.91,0.42,0.73,0,4.58,0.83,0.21,1.46,0.1,1.14,1.56,1.14,0.31,0,0.52,0.21,0,0.1,0.1,0,0,0.1,44.31,0.1,0,0,0.52,16.02,0.83
22Month,0.96,0.14,1.78,0.14,1.23,0.82,27.06,0.27,0.41,2.32,0.14,0.27,1.37,2.6,0.14,0.96,0.55,0,0.14,0,0.14,0.41,0.14,0,4.51,0.27,0.14,0,0.14,0.14,0.68
