stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,9,0,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,0.85,0.28,0,0,0,0,0,0,0,0,0.56,4.51,0,2.54,0,0.28,0,3.1,2.25,0,0,0,1.41,0.28,0,0.28,0,0,0,0
21Day,0.37,0,0,1.48,0.37,1.11,0,0,0,0,0,0,0,0,1.85,0.74,3.33,0,0,0.37,0.74,0.74,0,0,0,1.48,0.37,0,0.37,0,0,0,0
3Month,0.1,0.42,0,8.63,0,0,0,0.21,0,1.35,0.21,0.1,0.31,0.42,0.21,0,0.83,0.1,0,0,0,0.1,0.31,0,0,0.1,0.21,14.25,0.21,0.1,0.1,0.62,0.73
22Month,0,0.41,0.14,1.78,0,0,0.27,0.27,0.41,7.24,0,0.14,1.09,0,0.14,0.27,2.05,0,0.14,0,0,0,0.14,0.14,0.14,0,0,1.64,0,0,0,0,0.14
