stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hatching_gland,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,2,0,0,1,1,0,1,12,0,0,0
72hpf,0.56,0.56,0.56,0,0,0,0,0,0.28,0,0.56,2.25,0.85,0,0
21Day,0.37,0.37,1.11,0.37,0,0,0,0,0,0.37,0.74,1.11,0.37,0,0
3Month,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.31,0.31
