stage,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,1,0
72hpf,0.85,0,0,0.28,1.97,0
21Day,9.99,0.74,0.37,0,2.59,0.37
