stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,1.69,3.1,0.85,0,0,0,0,1.13,0.28,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0.74,0.37,0,0,0,0.37,0,0,0,11.1,0,0.74,0,1.85,0.74,0,0,0,0,1.48,0.37,0,0,0.37,0.74,0,0,0,0,0,0,12.21
3Month,0,1.35,0,3.33,0,0.21,0.1,0.73,6.76,0,1.25,1.98,1.98,1.04,0.42,2.5,14.77,2.81,1.25,0,0.21,0.83,0.21,0,0,0,0,0.21,0.1,3.74,0,0,0.31,3.22,53.98
22Month,0,1.5,0.14,2.87,0,0.27,0,0.27,10.25,1.23,4.37,1.37,2.87,0.41,0.41,0.27,21.59,2.46,0.27,0.27,0.14,0.14,0,0,0.14,0.41,0,0.27,0,1.91,0.27,0.55,0,0,17.35
