stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.56,2.82,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,10.15,0,0.28,0,5.36,1.13,0,0.56,12.4,0,0,0.56,0.56,0,0,0
21Day,0.37,4.44,0,0,0,1.11,0,0.74,0,0,0,0,0,0,0,0.74,0,17.39,0,1.48,0,1.11,0.74,0,0.74,8.51,0,0,1.11,0,0,0,0
3Month,0.1,4.16,0.1,1.14,0,0,0.21,0.1,0.1,1.04,0,0,1.87,0.31,0.62,0.1,1.56,5.51,3.12,0.62,0.1,0,0.1,0,0.62,0,0.21,0.94,0.1,0,2.7,0.31,0.42
22Month,0,4.24,0,0.27,0,0,0,0.14,0.14,0.41,1.5,0,4.65,0.41,0.55,0,1.23,2.32,0.27,0,0,0,0,0.27,0.41,0.14,0.14,0,0,0,0,0,0.27
