stage,Cardiomyocyte,Epithelial_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,3,1,0,2,1,0,26,1
72hpf,0,0,0.28,0,0.56,1.41,0,0.28
21Day,0,0,0,0,0,1.11,0.37,0
