stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,1,0,0,0,0,0,0,0,0,0,0,1
72hpf,0,0.28,0,0,0,0,0,0.28,0,0.28,0.56,0
21Day,0.37,0.37,0,0,0,0.37,0,0,0,0,0,0.74
3Month,0.1,0,0.1,0.1,0,0,0.21,0.1,0.21,0,0,0
22Month,0,0,0,0.55,0.27,0,0,0,0,0,0.14,0
