stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,5.07,1.69,0.56,0,0.28,0,0
21Day,0.74,0,0.37,0,0,0,0,0.74,0,4.07,1.85,0,0.37,0,0.37,0
3Month,0,0,0.1,0,0.1,0.21,0,0,0.1,0,0.1,0,0,0,0,0.1
22Month,0,0,0.14,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0
