stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0.28,0,0,0,0.28,2.54,0.28,0,0,0,0,1.41,3.95,17.19,0,0.28,0,0,0,0,0.56,0,0,0.56,0,0,0
21Day,0,0.37,0,2.22,0.37,0,0,0,0,0,0.37,0,0,1.11,0,3.7,0,1.85,0,0,0,0.74,1.11,1.11,0,0,0,0.37,0,0,0.74,0,0.37,0,0,0,0
3Month,0.21,1.14,3.95,22.47,0,0.31,1.98,1.04,0.94,0,63.76,1.66,0,36.93,0.62,9.67,0.73,6.24,0.42,0,0.42,66.26,0.31,0.62,0.1,0.21,0,0,1.35,8.74,0.31,0,0,0.21,0.73,22.68,0.42
22Month,0.41,1.09,2.32,4.1,0,0.41,0.55,1.09,0.96,0.41,144.44,0.27,0.27,39.63,0.41,2.19,0.27,1.23,0,2.6,0.41,2.46,0,0,0,0.14,0.68,0,0.41,3.55,0.82,0.14,0,0.14,0.14,0,0.14
