stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,1.41,0,0,0.28,0,0,0,0,0,0.28,0,0,1.41,0.56,0.28,0,0,0,23.68,0,0.28,0,0.85,0,0,0.28,0,0,0
21Day,0.74,0.74,0,14.43,1.48,0,0,0,0,0,0,0,0,0,0.37,17.02,0.74,1.48,0,0,0,13.32,0.74,0,0,0.74,0.74,0,0.37,0,0,0.37
3Month,0,0.31,0.31,8.22,0,0.1,0,0,0.73,0,11.65,0.52,0.1,0.52,0.1,8.95,0.83,1.46,0.42,0.1,0.1,0.1,0.1,0.1,0,0.1,0.21,1.04,0,0.21,0.31,0.52
22Month,0.14,0.96,0.14,2.05,0,0.14,0,0.27,1.5,1.37,11.62,0.27,0.55,1.09,0,1.37,0.68,1.09,0.14,0.41,0.27,0.14,0,0,0.14,0,0,0.14,0.27,0,0,0.14
