stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,0,16,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0.85,0,0,0.85,0,0.85,0,0,1.13,3.95,0,0.28,0,0,1.41,0,0,0
21Day,0,0.74,1.48,0,0,0,0,0.37,0,0,1.48,1.85,0.74,0,0,0,0.37,0,0,0,0.37,0.74,0,0,1.11
3Month,0,0.1,1.04,0.1,0.31,0,1.77,0,0.42,0.21,0.42,0.31,0.1,0.1,0.21,0.1,0.1,0.1,0,0.1,0.73,0,0.1,3.54,0.1
22Month,0.14,0.41,0.68,0.68,1.5,0.27,6.56,0.27,0.27,0,0.14,0.41,0.27,0,0,0,0,0.14,0,0,1.23,0.14,0,0,0.55
