stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0.28,0,0,0,3.66,1.13,0,0
21Day,0.74,0,0.74,0,0,0,0.37,11.84,0,2.22,0.74,2.59,1.48,0,0,6.29
3Month,0.21,0.1,0,0.1,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0.1,4.99
22Month,0,0,0,0,0.14,0.27,0,0,0,0,0,0,0,0,0,1.09
