stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0.85,1.41,0,0,0,0,2.54,0.28,0,0,0,0.28,0,0,0,0,0,0
21Day,0.37,0,0.37,0.37,0,0.74,0,0.37,0.74,0,0.37,0,5.18,0,0,0,0,0,0,0,0,0,0.74,0.37,0.37,0,0,0,0
3Month,0,0.31,2.18,0,0,12.17,2.29,21.74,0.21,0.73,0.1,0.31,27.25,0.42,0,0.31,0.1,0.31,0,0.21,0,0,0,0.1,1.35,0.1,0.1,2.08,0.94
22Month,0,0.41,0.41,0,0.14,20.09,3.69,8.2,0.96,0,0.14,0,16.81,0.82,0.27,0,0,0.14,0,0.14,0.41,0.14,0.14,0,0.68,0.27,0,0,0.68
