stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0.28,0,0,1.41,0,0.85,0,0,0,0,0,0,0,0
21Day,0,0,2.96,0.74,1.11,0,0.37,0,0.37,1.85,0,0.37,1.11,0.74,0.37,0,0,0.37,1.85,0,0,0,1.11
3Month,0.1,0,1.35,0,0,0.31,0.62,0.83,0.42,0.1,0.52,0.1,0.73,0.21,0.83,0.21,0,0.21,0.31,0.21,0,0,0.62
22Month,1.91,0.14,1.37,0,0,0,0.55,1.91,0.27,0.14,1.23,0,0.14,0.55,1.37,0.14,0.27,0.14,0,0.27,0.14,0.14,0.27
