stage,Erythrocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mt_rich_cell,Muscle_cell,Neural_cell
21Day,0.37,0,0,0,0,0,0,0.37
3Month,0,0,0.1,0,0,0,0.1,0
22Month,0,0.14,8.34,0.27,0.14,0.55,0,0
