stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,166,0,0,6,1,0,0,1,0,0,0,1,0,0,0,0,1,2,2,61,2,0,0,252,144,1,0,0,0,0,0,0,0,1,0,0
72hpf,21.42,0.85,0,4.23,1.69,4.79,0,0.28,0,0,0,0,0,0,0.28,0,1.69,6.76,1.13,10.15,0.28,0,0.28,431.51,53.83,0,2.25,14.37,0.28,0,5.64,0.56,0.28,1.41,0,0
21Day,27.75,0.74,0,4.81,0,1.85,0,0,0,0,0,0,0,0,1.11,0.37,0.37,2.22,0.74,7.03,0,0.37,0,56.24,11.47,0,4.44,2.22,2.22,0,0,0.37,0,0,0,0.37
3Month,0.1,0,0,1.04,0,0,0.21,0,0.1,0.21,0,0,1.14,0.21,0,0.31,0.1,0.21,0.1,0.62,0,0,0.1,4.16,0.31,0.1,1.87,0.1,0.21,3.12,0,0,0,0,0.94,0.31
22Month,0.14,0,0.14,0.27,0,0,0,0,0,0,0.14,0,3.01,0.14,0,0.41,0,0,0.27,0.41,0,0,0,3.42,0,0,0,0,0,1.09,0,0,0,0,0,0.27
