stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,5,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0,0,2.54,0.28,0,0,0,1.13,0,0,0,2.25,0,1.97,1.97,18.32,2.25,0,0.28,0,0,5.36,9.02,0,0.56,0,1.41,0,0,0,0.28,0,0,1.13,0,0,0
21Day,2.22,0.37,0.37,27.01,3.33,0,2.59,0,1.48,0,0,5.92,54.76,0.37,1.11,4.44,28.12,9.99,0,0,0.74,0,4.81,6.66,0,1.11,0,1.11,2.22,0,0,1.85,0,0.37,1.48,0,0,55.13
3Month,0.42,0.73,0.83,29.33,0,0.73,0.21,1.35,23.82,0.1,10.82,129.5,3.95,4.68,4.99,5.51,95.38,8.84,1.14,0.21,1.66,1.25,0.73,0.1,1.66,0.83,0,0.42,2.5,0.42,10.09,0.31,0.21,0,0,4.06,9.67,200.54
22Month,0.41,2.32,0.14,52.61,0,1.5,0.41,0.41,53.7,13.8,16.94,35.8,4.92,2.87,6.01,6.15,115.88,4.78,0,0.82,3.28,0,0.41,0.27,0.82,0.41,0.41,0.41,1.09,0,5.19,0.14,0.68,0,0,1.64,0,100.3
